datasetKey	searchQuery	publisherKey	title	publisher	datasetCategory
cf633c2d-7006-4bc9-bff3-1b8a0c1124c9	percentNN_1_countNN_74_distanceNN_0.34	NA	Diversidad de briófitos, liquenes y hongos en las zonas de enriquecimiento del gasoducto Jobo-Majaguas y San Mateo-Mamonal, departamento de Sucre	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	Gridded
336137d9-a446-4033-90d8-11bfad870e32	percentNN_0.3016_countNN_136_distanceNN_0.04	NA	Monitoreo de fauna silvestre en el Proyecto Vial 4G Bucaramanga-Barrancabermeja-Yondó (BBY)	8e6bc843-c1b4-4b10-b546-881f06049004	Gridded
dcb5f313-ff74-41d0-a276-a67e915e8207	percentNN_0.4938_countNN_40_distanceNN_0.1	NA	Inventory of the orchid plants species in the Biosphere Reserve of Pendjari and surround areas in North West Benin	63680734-f107-4746-890f-fa68834fb13e	Gridded
acfbea93-6b09-4455-a0e2-e4b1042a3b58	percentNN_0.4087_countNN_47_distanceNN_0.1	NA	Colección del Herbario de la Universidad ICESI	7d91f9bd-f6cd-48e3-ba81-3c228cf5e13a	Gridded
23cdb7f0-a1e4-4821-9986-10e92c5378e4	percentNN_0.4896_countNN_94_distanceNN_0.1	NA	Sumner, D.P. 2020, European Micropezids & Tanypezids, Published Papers Part A Occurrence Dataset	1d7ce54a-cdac-46a3-8279-f41a4a936776	Gridded
23cdb7f0-a1e4-4821-9986-10e92c5378e4	percentNN_0.4896_countNN_94_distanceNN_0.1	NA	Sumner, D.P. 2020, European Micropezids & Tanypezids, Published Papers Part A Occurrence Dataset	1d7ce54a-cdac-46a3-8279-f41a4a936776	Gridded
083a4342-39f7-4fe0-a03c-d14ab3b9c5e2	percentNN_0.5_countNN_182_distanceNN_0.1	NA	Condon Fossil Collection - Oregon Museum of Natural and Cultural History	0ba220e1-77cf-487a-8d91-494167240f5d	Gridded
083a4342-39f7-4fe0-a03c-d14ab3b9c5e2	percentNN_0.4918_countNN_179_distanceNN_0.1	NA	Condon Fossil Collection - Oregon Museum of Natural and Cultural History	0ba220e1-77cf-487a-8d91-494167240f5d	Gridded
05db3ca4-e534-4a91-abcd-f6bfdd2989ad	percentNN_0.6533_countNN_471_distanceNN_0.09	NA	Register of protected and endangered fungi of Poland (GREJ)	9d0b1faa-c854-4bbf-a94d-3dd1665874a5	Gridded
05db3ca4-e534-4a91-abcd-f6bfdd2989ad	percentNN_0.6505_countNN_469_distanceNN_0.09	NA	Register of protected and endangered fungi of Poland (GREJ)	9d0b1faa-c854-4bbf-a94d-3dd1665874a5	Gridded
b3b7d5c4-f73a-475b-a203-c6a1ddd040cd	percentNN_0.3516_countNN_32_distanceNN_0.03	NA	Puerto Rico Long-Term Coral Reef Monitoring Program Database Compilation	c3ad790a-d426-4ac1-8e32-da61f81f0117	Gridded
0ba1bf20-e8a7-4226-99b8-bf6a812dbfb9	percentNN_0.7959_countNN_39_distanceNN_0.1	NA	1988 - 2023 Capercaillie Annual Lek Monitoring, Raw Data	c71f0513-c95a-4e98-abad-0c222b87ec66	Gridded
0ba1bf20-e8a7-4226-99b8-bf6a812dbfb9	percentNN_0.7755_countNN_38_distanceNN_0.1	NA	1988 - 2023 Capercaillie Annual Lek Monitoring, Raw Data	c71f0513-c95a-4e98-abad-0c222b87ec66	Gridded
32fc6edb-1636-4ca6-894c-40670484f792	percentNN_0.871_countNN_54_distanceNN_0.1	NA	1999-2023 Capercaillie Annual Lek Monitoring, Summary Data	c71f0513-c95a-4e98-abad-0c222b87ec66	Gridded
32fc6edb-1636-4ca6-894c-40670484f792	percentNN_0.8387_countNN_52_distanceNN_0.1	NA	1999-2023 Capercaillie Annual Lek Monitoring, Summary Data	c71f0513-c95a-4e98-abad-0c222b87ec66	Gridded
f154e12c-b2f4-4654-9a79-822fedc7b094	percentNN_0.8676_countNN_118_distanceNN_0.1	NA	1955-2023 Capercaillie Casual Records, Scotland	c71f0513-c95a-4e98-abad-0c222b87ec66	Gridded
f154e12c-b2f4-4654-9a79-822fedc7b094	percentNN_0.8676_countNN_118_distanceNN_0.1	NA	1955-2023 Capercaillie Casual Records, Scotland	c71f0513-c95a-4e98-abad-0c222b87ec66	Gridded
d38d6841-de2a-4a16-b39e-495402d8592b	percentNN_0.8395_countNN_68_distanceNN_0.09	NA	Observations faune et flore du Parc national des Écrins	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
d38d6841-de2a-4a16-b39e-495402d8592b	percentNN_0.8395_countNN_68_distanceNN_0.09	NA	Observations faune et flore du Parc national des Écrins	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
528ad5f2-b6d4-4ea6-89a1-ddfafee4ec45	percentNN_0.3644_countNN_86_distanceNN_0.09	NA	CardObs : Observations naturalistes issues de l'outil CardObs-Noctuoidea de France métropolitaine	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
528ad5f2-b6d4-4ea6-89a1-ddfafee4ec45	percentNN_0.3644_countNN_86_distanceNN_0.09	NA	CardObs : Observations naturalistes issues de l'outil CardObs-Noctuoidea de France métropolitaine	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
b7794db8-a1e3-4b45-8908-653ac72c3b9f	percentNN_0.609_countNN_81_distanceNN_0.09	NA	Enquête nationale Écrevisses - Données d'observation d'écrevisses exotiques envahissantes en Bretagne et Pays de Loire sur la période 2014 à 2018	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
b7794db8-a1e3-4b45-8908-653ac72c3b9f	percentNN_0.609_countNN_81_distanceNN_0.09	NA	Enquête nationale Écrevisses - Données d'observation d'écrevisses exotiques envahissantes en Bretagne et Pays de Loire sur la période 2014 à 2018	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
0b5f972e-0f84-4d07-9b84-96c09e2925da	percentNN_0.366_countNN_366_distanceNN_0.09	NA	Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB) - Données acquises selon le protocole de pêche partielle par points - ASPE - OFB	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
0b5f972e-0f84-4d07-9b84-96c09e2925da	percentNN_0.363_countNN_363_distanceNN_0.09	NA	Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB) - Données acquises selon le protocole de pêche partielle par points - ASPE - OFB	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
724ec4af-c9a3-490b-b718-a1b202437c0f	percentNN_0.8805_countNN_2924_distanceNN_0.09	NA	Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB) - Données acquises selon le protocole de pêche complète à un ou plusieurs passages - ASPE - OFB	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
724ec4af-c9a3-490b-b718-a1b202437c0f	percentNN_0.8762_countNN_2910_distanceNN_0.09	NA	Données piscicoles et astacicoles des cours d'eau de France métropolitaine bancarisées dans ASPE (OFB) - Données acquises selon le protocole de pêche complète à un ou plusieurs passages - ASPE - OFB	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
fa11e3b9-99ca-4059-9acc-390bb74be648	percentNN_0.3721_countNN_32_distanceNN_0.09	NA	Enquête nationale Écrevisses - Données d'observation d'écrevisses exotiques envahissantes sur la période 2014 à 2018	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
