datasetKey	publisherKey	searchQuery	title	publisher	datasetCategory
00199071-3d3d-41c4-9a77-36fe8d84fa2f	NA	gps	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Grive littorne 2012 - 2016 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Tracking
001db2b9-e713-43e4-ac5d-2c52ef009ef1	NA	tracking, telemetry, satellite	Satellite Tracking of three species of sea turtles on Bonaire (aggregated per 1-degree cell)	67b2263f-6990-4d9d-b32b-20aa72ef4fbc	Tracking
00319858-f963-416f-b7d2-cc7d8cde589d	NA	tracking, telemetry, satellite, biologging	Ribbon seal (Histriophoca fasciata) location data from a satellite telemetry tag (ptt id 58011) deployed in the Bering Sea from 2005-06-02 to 2005-06-04, deployment id 578e8e64d76c5c4057784103	1d38bb22-cbea-4845-8b0c-f62551076080	Tracking
003af977-4127-4405-91fb-1356d785db61	NA	tracking, tagging	Nemertinos de las Colecciones Biológicas de la Universidad del Magdalena	30ff48bd-4dd1-429d-a5a5-348c8e5fbfb1	Tracking
004755bf-82dd-4e0e-8ff6-a61020df0cba	NA	gps	ZPS - Données recueillies dans le cadre de la ZPS du Plateau de Millevaches-ZPS_O_045 - Recherche d'indices de présence de la bécassine des marais dans la ZPS Millevaches	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Tracking
0053df5a-0cf0-45a2-a38e-a76098afbeb0	NA	tracking, telemetry, satellite, biologging	Ribbon seal (Histriophoca fasciata) location data from a satellite telemetry tag (ptt id 64706) deployed in the Bering Sea from 2006-04-27 to 2006-05-20, deployment id 579cdf24d76c5c4aa51218b1	1d38bb22-cbea-4845-8b0c-f62551076080	Tracking
00647bc1-bca9-4247-ab28-e1ef81fcbc93	NA	tracking	Otter trawling fish assemblages at the Changyun Rise off central western Taiwan in 2017-2021	ff7acdbc-9747-4808-9072-eadac23fc68a	Tracking
006c7794-dc98-400c-a464-01ea284df33d	NA	tracking, telemetry, satellite, biologging	Ribbon seal (Histriophoca fasciata) location data from a satellite telemetry tag (ptt id 74634) deployed in the Bering Sea, and the North Pacific Ocean from 2009-06-02 to 2010-02-22, deployment id 56ce075cd76c5c35991c7d02	1d38bb22-cbea-4845-8b0c-f62551076080	Tracking
00928a0b-bc65-4840-9380-082282882fbd	NA	gps	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Grive musicienne 2009 - 2013 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Tracking
00a46562-1577-4b3a-ad40-5b114a8d81b8	NA	tracking, telemetry, satellite, biologging	Spotted seal (Phoca largha) location data from a satellite telemetry tag (ptt id 85877) deployed in the Bering Sea from 2010-05-06 to 2010-06-26, deployment id 56f458ebd76c5c30d969f871	1d38bb22-cbea-4845-8b0c-f62551076080	Tracking
